pattern1	pattern2	instance1	instance2	similarity scores	worker IDs
be the complexity of	be the documentation of	such be the complexity of human nature	such be the documentation of human nature	3 3 3 6 3	38 42 18 19 10
be born of	be a child of	Lord Brahma be born of the lotus	Lord Brahma be a child of the lotus	5 6 6 6 4	41 22 21 10 49
arrange	make arrangement for	My parents arrange a marriage	My parents make arrangement for a marriage	6 6 6 6 5	34 27 35 29 36
be hijacked by	be taken over by	The republic be hijacked by Forces	The republic be taken over by Forces	6 6 6 6 5	13 6 14 15 25
go on in	be done in	things go on in our lives	things be done in our lives	6 6 5 4 4	34 27 29 36 45
enable	allow for	Our products and services enable organizations	Our products and services allow for organizations	5 5 5 5 6	41 51 21 37 49
rely on	be dependent upon	the state rely on collaboration	the state be dependent upon collaboration	6 6 6 7 6	5 12 14 7 15
trust	be grateful to	any soul trust Him	any soul be grateful to Him	2 4 3 2 5	41 42 22 37 49
increase over	evolve over	The number of visitors increase over the years	The number of visitors evolve over the years	6 5 5 6 4	58 7 50 8 9
be hired for	be valued for	The hotel be hired for exclusive use	The hotel be valued for exclusive use	2 5 4 6 4	51 2 21 37 23
be designed for	be useful for	This keyboard be designed for individuals	This keyboard be useful for individuals	5 5 5 5 5	41 0 2 20 49
be cut in	fall by	Illiteracy be cut in half	Illiteracy fall by half	6 5 6 2 5	41 42 21 37 20
need to use	use	Most users need to use this feature	Most users use this feature	4 6 3 6 6	30 1 3 23 33
be difficult for	be important for	This one be difficult for the younger set	This one be important for the younger set	3 1 4 1 1	39 43 44 12 15
be attracted to	be interested in	Many people be attracted to Florida	Many people be interested in Florida	5 4 6 6 6	6 11 50 8 9
result in	translate into	globalization result in cultural uniformity	globalization translate into cultural uniformity	3 5 5 7 6	38 42 18 19 10
be all of	include all of	the answer be all of the above	the answer include all of the above	7 6 5 5 5	0 1 2 21 4
fail in	win in	the proposal fail in the end	the proposal win in the end	3 1 1 2 5	38 16 17 18 19
cheat on	lie to	My best friend cheat on his girlfriend	My best friend lie to his girlfriend	2 3 4 3 4	13 14 24 15 25
care for	connect with	families and friends care for older people	families and friends connect with older people	3 6 5 6 5	40 30 31 32 33
be the part of	be an essential part of	The small intestine be the part of the digestive system	The small intestine be an essential part of the digestive system	6 6 6 5 5	34 27 35 29 36
suit	be better for	this one suit my tastes	this one be better for my tastes	6 6 6 5 5	34 27 29 36 45
be the most important part of	be the only part of	the P.S. be the most important part of a letter	the P.S. be the only part of a letter	1 2 2 1 5	0 51 22 52 4
defend	stand up for	Iran defend itself	Iran stand up for itself	6 4 1 6 6	26 27 28 17 29
get word to	be greeted by	Jr. get word to Washington	Jr. be greeted by Washington	3 3 3 4 6	38 42 18 19 10
solve	solve all of	Apple solve that issue	Apple solve all of that issue	5 6 6 5 5	14 11 50 9 48
stumble upon	run across	glad i stumble upon this site	glad i run across this site	1 6 5 6 7	44 13 14 15 25
end in	reach	This process end in Oregon	This process reach Oregon	5 5 1 5 5	39 5 43 12 6
trust	admire	Syl trust him	Syl admire him	3 4 5 3 6	38 16 17 18 19
be weary of	be swayed by	a United States be weary of war	a United States be swayed by war	3 3 5 6 6	38 42 18 19 10
be to bring	be to teach	The idea be to bring information	The idea be to teach information	3 6 5 6 5	38 47 42 19 20
be considered without	be accepted without	the market be considered without a trend	the market be accepted without a trend	6 6 1 4 4	34 27 29 23 45
aim	embed	The hunters aim their weapons	The hunters embed their weapons	3 3 3 4 4	39 5 7 20 8
move with	be with	The prince move with his daughter	The prince be with his daughter	5 5 3 5 5	41 0 2 49 4
come across	find out about	the team come across a chamber	the team find out about a chamber	1 6 4 1 6	30 31 3 32 33
take care of	provide for	his mama and papa take care of him	his mama and papa provide for him	3 1 5 6 5	38 16 42 18 19
crack open	need to open	Anybody crack open a history book	Anybody need to open a history book	5 2 5 5 5	22 3 23 52 4
reach about	be 2 to	Mature plants reach about 5 feet	Mature plants be 2 to 5 feet	4 4 5 2 5	41 22 21 37 20
be similar to	be known as	The process be similar to the surgery	The process be known as the surgery	3 4 6 4 5	41 22 37 20 49
be taken	be shown	This picture be taken last night	This picture be shown last night	2 2 2 1 1	5 13 14 7 15
squeeze out of	leak from	Tears squeeze out of your eyes	Tears leak from your eyes	5 5 6 5 5	5 40 12 14 11
set an example for	lose the respect of	Teachers set an example for their students	Teachers lose the respect of their students	3 3 2 6 2	38 42 18 19 10
defend	be ready to defend	Iran defend itself	Iran be ready to defend itself	3 6 5 5 6	38 47 42 18 19
travel with	move in with	The reader travel with Ben	The reader move in with Ben	2 1 1 6 6	51 1 2 32 4
impact	improve	the natural environment impact the built environment	the natural environment improve the built environment	6 3 6 6 5	30 31 3 32 33
be interested in make	be eager to make	keyboard player be interested in make music	keyboard player be eager to make music	3 6 5 6 5	38 47 42 18 19
mean make	be make	web hosting mean make web sites	web hosting be make web sites	6 5 6 6 6	47 42 18 19 10
be grateful for	appreciate	the artist be grateful for the opportunity	the artist appreciate the opportunity	6 5 5 5 6	16 42 18 20 10
integrate into	fit in with	your game integrate into your Desktop	your game fit in with your Desktop	6 6 6 6 5	1 21 32 52 4
purchase	reserve	those users purchase online	those users reserve online	5 2 3 4 3	39 7 50 8 9
be the king of	reign in	The sun be the king of the planets	The sun reign in the planets	1 6 6 5 5	43 44 35 13 45
respond to	adapt to	our staff respond to your contribution	our staff adapt to your contribution	3 6 5 3 6	38 47 42 18 19
beat	break	the Raiders beat the Texans	the Raiders break the Texans	5 1 2 5 5	41 16 51 21 22
tend to neglect	tend to forget about	Robert tend to neglect his family	Robert tend to forget about his family	6 4 6 6 5	0 1 2 3 4
be an evening of	be a time for	The Gala be an evening of celebration	The Gala be a time for celebration	5 6 6 6 4	26 27 28 29 46
be seen in	be evident in	the impact be seen in long term	the impact be evident in long term	6 6 7 6 5	34 27 35 29 36
be the author of	be written by	God be the author of sin	sin be written by God	1 5 6 3 6	16 42 21 37 49
live up to	measure up to	your kids live up to your expectation	your kids measure up to your expectation	1 6 6 6 1	16 31 37 10 32
start take	keep take	Students start take courses	Students keep take courses	1 3 4 3 6	47 42 21 20 49
search in	do a quick search on	him search in the king 's library	him do a quick search on the king 's library	3 5 4 2 5	0 1 2 3 4
browse	log on to	the user browse the Site	the user log on to the Site	3 3 3 4 5	14 11 50 9 48
be employed by	be purchased by	Williams be employed by Duke	Williams be purchased by Duke	1 6 1 1 3	34 27 29 36 45
put link to	put up a link to	all your friends put link to this website	all your friends put up a link to this website	7 6 5 6 7	40 44 14 24 25
be presented to	be submitted to	a separation agreement be presented to the court	a separation agreement be submitted to the court	6 6 7 3 6	0 30 1 3 33
represent	seek	One player represent the Cats	One player seek the Cats	3 2 3 2 2	5 7 20 10 8
be better for	be ready for	hemp be better for our planet	hemp be ready for our planet	6 2 4 5 5	16 51 2 22 49
read in	write in	Coleman read in response	Coleman write in response	3 6 2 2 6	38 16 42 10 49
be closed for	be closed to	school be closed for Veterans Day	school be closed to Veterans Day	3 5 2 4 6	38 42 18 19 20
be devoid of	be void of	His life be devoid of motivation	His life be void of motivation	6 1 6 5 3	34 27 23 36 45
steer clear of	avoid	Most people steer clear of him	Most people avoid him	7 6 6 7 5	0 2 1 52 4
talk of	speak about	Jews talk of Nazis	Jews speak about Nazis	3 5 6 6 6	38 42 17 18 19
stop	block	the bell stop ringing	the bell block ringing	6 6 5 1 2	43 44 6 35 13
work since	work until	Anne work since January	Anne work until January	6 1 1 1 2	34 27 29 36 45
be a publication of	be a registered trademark of	the journal be a publication of the American Association	the journal be a registered trademark of the American Association	4 4 3 5 5	0 1 2 3 4
be surprised at	be satisfied with	Analysts be surprised at the move	Analysts be satisfied with the move	6 5 5 2 4	26 27 28 17 29
go about	go around	Jesus go about all Galilee	Jesus go around all Galilee	6 6 6 6 6	13 6 11 15 25
be happy with	be comfortable with	developers be happy with your requirements	developers be comfortable with your requirements	6 6 6 6 6	30 31 3 32 50
want to give	like to offer	a lot of people want to give their ideas	a lot of people like to offer their ideas	6 5 6 6 5	34 27 29 23 45
look to expand	want to grow	The band look to expand its ranks	The band want to grow its ranks	6 6 6 6 6	16 31 37 32 10
show off	design	The boys show off their stuff	The boys design their stuff	3 2 3 4 1	39 7 50 8 9
be encouraged to submit	be expected to submit	Fans be encouraged to submit photos of themselves	Fans be expected to submit photos of themselves	6 3 4 6 6	30 31 1 32 33
be the polar opposite of	be the opposite of	Torture be the polar opposite of freedom	freedom be the opposite of Torture	7 6 7 6 6	7 11 50 8 9
consist of	be composed of	the moon consist of green cheese	the moon be composed of green cheese	6 6 5 6 6	43 44 6 35 13
stand for	be the abbreviation for	URL stand for Uniform Resource Locator	URL be the abbreviation for Uniform Resource Locator	1 5 6 6 6	27 28 35 29 46
display a variety of	present a variety of	this online version display a variety of articles	this online version present a variety of articles	6 3 5 6 6	27 28 35 29 46
bless	promise to	ye bless the children of Israel	ye promise to the children of Israel	3 3 1 3 3	39 5 43 12 6
do in	die in	the player do in his career	the player die in his career	1 2 2 1 2	13 6 11 15 25
have several version of	be interested in review	Offices have several version of Word	Offices be interested in review Word	6 6 2 2 4	34 27 13 36 45
relocate from	visit from	Most of my family relocate from New York	Most of my family visit from New York	2 3 2 2 4	40 14 50 9 48
be helpful for	be uncommon for	prenatal vitamins be helpful for women	prenatal vitamins be uncommon for women	6 6 6 2 1	26 27 28 17 29
see to	lie to	China 's internet satellites see to internetcafe	China 's internet satellites lie to internetcafe	3 2 2 2 1	39 58 6 8 9
finish	finish up	your partner finish treatment	your partner finish up treatment	3 6 6 6 5	38 14 17 18 19
collect	expose	Yahoo! collect order information	Yahoo! expose order information	6 1 2 2 4	43 35 13 36 45
look into	see into	TM look into the future	TM see into the future	6 6 6 5 6	5 40 12 14 48
be better than	be bad as	The team be better than last year	The team be bad as last year	1 1 3 1 4	51 1 21 32 4
plop in	spin in	Crystal plop in her chair	Crystal spin in her chair	3 3 6 1 2	39 5 43 12 48
compete with	replace	Alaska compete with Ohio	Alaska replace Ohio	1 2 5 2 4	16 17 19 48 25
marry in	be married in	a non-Catholic marry in the Church	a non-Catholic be married in the Church	6 7 5 6 5	44 13 17 24 25
play a leading role in	play a central role in	UNESCO play a leading role in adult education	UNESCO play a central role in adult education	1 6 6 6 5	47 0 51 2 49
need a change in	need change in	This country need a change in direction	This country need change in direction	6 6 6 7 4	30 31 32 50 33
cook	crave	The lady cook breakfast and lunch	The lady crave breakfast and lunch	3 2 2 3 1	6 11 50 8 9
matter to	affect	our priorities matter to our community	our priorities affect our community	1 6 6 4 5	34 27 28 29 23
be situated in	be near	a hole be situated in the diaphragm	a hole be near the diaphragm	6 6 1 2 2	34 27 29 23 36
twist	tug on	The acupuncturist twist the needles	The acupuncturist tug on the needles	3 6 3 3 5	38 47 42 18 19
be entrusted with	entrust	The former be entrusted with duties	The former entrust duties	1 6 2 2 5	47 16 42 18 49
perceive	comprehend	The disciples perceive his glory	The disciples comprehend his glory	5 6 5 5 6	41 0 51 2 20
check	check on	The loan check your credit score	The loan check on your credit score	6 6 6 6 5	1 2 22 32 4
apologize to	yell at	Lawler apologize to the crowd	Lawler yell at the crowd	6 2 2 1 2	47 0 51 1 22
do a lot of	have no problem with	a lot of people do a lot of stuff	a lot of people have no problem with stuff	3 3 2 2 5	38 42 21 10 49
be thrilled to have	feel lucky to have	Jenny be thrilled to have the opportunity	Jenny feel lucky to have the opportunity	5 4 5 4 5	51 21 22 37 49
say wonderful thing about	have the same thought as	The staff say wonderful thing about him	The staff have the same thought as him	6 1 1 5 1	30 31 32 33 52
protect	help protect	password protect zip files	password help protect zip files	6 6 6 6 6	30 31 3 33 52
test	try out	religious leaders test Him	religious leaders try out Him	1 6 5 5 5	34 27 23 36 45
step in for	head home with	Michelle Obama step in for her husband	Michelle Obama head home with her husband	2 2 2 2 2	14 11 50 9 48
face the threat of	be saved from	London face the threat of the IRA.	London be saved from the IRA.	2 2 1 2 5	42 21 20 10 49
be placed for	be taken for	the ball be placed for a kick-off	the ball be taken for a kick-off	6 6 4 6 4	30 31 3 33 52
accept	pay via	the Congressman accept contributions	the Congressman pay via contributions	3 2 2 2 6	38 14 17 18 19
get into	get out of	Nobody get into work	Nobody get out of work	6 6 1 1 1	34 28 35 29 36
pick up one of	fumble for	the press pick up one of its stories	the press fumble for its stories	3 3 1 3 1	39 5 44 6 35
be presented to	be approved by	Survey be presented to the Board	Survey be approved by the Board	6 3 3 2 5	16 42 21 37 49
be open to	be offered to	The survey be open to students	The survey be offered to students	1 5 6 6 6	47 41 0 32 4
long to see	have a deep love for	Yang long to see Lau	Yang have a deep love for Lau	4 2 3 5 5	1 3 23 52 4
get in	jump in	a volunteer get in return	a volunteer jump in return	1 1 2 2 4	34 27 13 36 45
mention	involve	The article mention the king	The article involve the king	5 4 6 2 5	41 42 22 37 49
feel the same way as	say goodnight to	Ada feel the same way as Inman	Ada say goodnight to Inman	2 1 2 2 3	38 16 21 18 19
read about	read more about	Ive read about him	Ive read more about him	5 5 5 6 5	39 6 7 8 9
be ready for	be submitted for	the pages be ready for your viewing	the pages be submitted for your viewing	3 6 5 5 2	38 16 42 18 19
talk with	have lunch with	many people talk with the practitioners	many people have lunch with the practitioners	3 3 2 3 5	38 42 17 18 19
be downloaded for	be available for	This story be downloaded for personal use	This story be available for personal use	4 5 5 2 5	1 2 21 3 4
be reported to	be reviewed by	this change be reported to immigration	this change be reviewed by immigration	6 2 5 5 4	16 17 18 19 20
play on	win on	The bands play on an elevated stage	The bands win on an elevated stage	3 5 2 3 6	38 14 17 18 19
be the supply of	be the chain of	The first be the supply of water	The first be the chain of water	2 2 5 5 6	7 11 50 8 9
be aligned with	match with	their interests be aligned with yours	their interests match with yours	1 6 6 6 6	47 51 2 22 49
be the parent of	be a mom to	his wife be the parent of two children	his wife be a mom to two children	5 4 4 5 6	39 43 44 6 35
be sponsored by	be supported by	Site be sponsored by the National Institute	Site be supported by the National Institute	6 6 5 4 5	43 44 6 35 45
select	add	Students select a setting	Students add a setting	1 6 5 6 4	43 44 35 13 45
want to achieve	intend to achieve	God want to achieve divine love	God intend to achieve divine love	6 6 6 6 5	30 31 32 50 33
end up marry	marry to	Dad end up marry Mom	Dad marry to Mom	1 1 5 5 5	47 16 42 18 19
contain link to	include link to	Web Site contain link to other Web Sites	Web Site include link to other Web Sites	6 6 6 7 6	5 11 50 9 48
create the condition for	be conducive to	capitalism create the condition for its own downfall	capitalism be conducive to its own downfall	5 5 6 6 5	39 6 7 8 9
be grateful for	acknowledge	the community be grateful for the support	the community acknowledge the support	5 4 6 6 5	39 40 12 7 20
coast on	capitalize on	The US coast on its national debt	The US capitalize on its national debt	6 6 1 4 4	34 27 29 23 45
propose	oppose	EPA propose new procedures	EPA oppose new procedures	3 6 1 2 5	38 47 42 18 19
be new to	be the place for	individuals be new to Linux	Linux be the place for individuals	6 2 5 3 5	16 17 19 48 25
travel	hike	friends travel thousands of miles	friends hike thousands of miles	4 5 5 5 5	41 0 22 21 49
want to see	want to help	All judges want to see him	All judges want to help him	1 5 2 5 2	30 31 3 33 52
be available to	be offered for	Grants be available to states	Grants be offered for states	5 6 6 6 6	30 31 3 32 33
contain	be comprised of	This page contain links	This page be comprised of links	5 6 5 2 6	0 16 41 37 49
be been for	remain for	nobody be been for a second bottle	nobody remain for a second bottle	5 6 6 5 5	41 51 2 22 21
guarantee	provide	The section guarantee equality	The section provide equality	5 6 3 5 5	13 6 15 48 25
make off with	drive off with	The thieves make off with TVs	The thieves drive off with TVs	6 6 2 4 6	42 21 37 10 49
chat to	remark to	the birds chat to one another	the birds remark to one another	6 3 6 6 6	13 6 11 15 25
come out of	come out from	the carbon dioxide come out of solution	the carbon dioxide come out from solution	6 6 6 6 6	47 41 51 2 22
be gonna go to	end up go to	Best Actor be gonna go to Mickey Rourke	Best Actor end up go to Mickey Rourke	5 5 6 6 5	14 11 50 9 48
want to go out to	stop go to	Alice want to go out to supper	Alice stop go to supper	6 1 1 5 3	34 27 29 36 45
stand	detect	The rebels stand a chance	The rebels detect a chance	2 1 3 6 6	0 1 2 32 4
appear along	be found along	the genes appear along each chromosome	the genes be found along each chromosome	6 6 2 5 6	42 21 37 20 49
want to be in	want to join	Ive want to be in the music business	Ive want to join the music business	6 6 6 5 6	43 44 35 6 36
form one of	remain one of	This survey form one of a series	This survey remain one of a series	3 4 5 5 5	0 2 1 52 4
matter to	be obvious to	our priorities matter to our community	our priorities be obvious to our community	2 5 2 6 2	13 6 11 48 25
place on	put on	signs place on telephone poles	signs put on telephone poles	6 6 2 1 5	51 1 3 32 4
have several version of	have two copy of	Offices have several version of Word	Offices have two copy of Word	3 3 4 5 4	40 14 17 24 25
be the core of	be an integral part of	Resellers be the core of our business	Resellers be an integral part of our business	5 1 6 6 4	39 43 44 12 15
explain to	confront	a doctor explain to him	a doctor confront him	2 4 3 2 4	0 1 22 3 4
browse	access	the individuals browse the site	the individuals access the site	6 5 5 4 6	47 1 21 2 3
be expressed in	be displayed in	your answer be expressed in two parts	your answer be displayed in two parts	6 6 6 6 7	30 31 3 32 50
show up	go to work	Jack show up one day	Jack go to work one day	6 6 5 2 3	47 40 41 0 4
disagree with	differ with	Many people disagree with the following statement	Many people differ with the following statement	5 7 5 6 4	0 51 1 2 23
play in	appear in	Marc Crosas play in the game	Marc Crosas appear in the game	5 6 6 6 5	39 40 12 7 20
be a valued member of	be a great asset to	April be a valued member of the team	April be a great asset to the team	1 4 6 6 5	34 27 29 23 36
see the effect on	write content for	Tudor see the effect on Joan	Tudor write content for Joan	3 2 2 2 6	38 14 17 18 19
hope for	aim for	Egypt hope for a long-term truce	Egypt aim for a long-term truce	6 6 6 5 5	34 28 35 29 36
be helpful for	be ideal for	prenatal vitamins be helpful for women	prenatal vitamins be ideal for women	6 6 5 5 5	43 44 6 35 45
be known as	be described as	the owner of an LLC be known as a member	the owner of an LLC be described as a member	6 5 6 5 5	34 28 35 29 36
travel	travel around	friends travel thousands of miles	friends travel around thousands of miles	6 6 5 6 5	34 35 29 46 36
get to know	learn about	Students get to know their communities	Students learn about their communities	5 5 6 6 5	6 7 11 8 9
be satisfying to	give pleasure to	artistic , sensitive , or spiritually inclined people be satisfying to him	artistic , sensitive , or spiritually inclined people give pleasure to him	6 5 6 6 6	0 1 21 3 32
recognize the need of	understand the need of	the Governor recognize the need of Upstate	the Governor understand the need of Upstate	5 6 6 6 4	39 43 44 12 15
kill	harm	The FBI kill Randy Weaver	The FBI harm Randy Weaver	6 6 5 2 4	34 27 29 36 45
be more of	be possible to buy	this page be more of a guide	this page be possible to buy a guide	3 6 3 1 2	43 44 6 35 45
participate in	host	other interested parties participate in the hearing	other interested parties host the hearing	6 1 2 5 3	30 31 1 33 52
agree to use	be prohibited from use	Visitors agree to use the web site	Visitors be prohibited from use the web site	2 1 1 3 2	39 34 47 38 5
migrate to	live outside	Spann migrate to Chicago	Spann live outside Chicago	6 1 3 1 1	44 13 14 15 25
have a change in	need to provide proof of	Idaho have a change in law	Idaho need to provide proof of law	1 2 1 2 1	13 24 15 48 25
be difficult for	be great for	This one be difficult for the younger set	This one be great for the younger set	3 1 1 3 3	39 34 47 38 5
wish to add to	add into	the customer wish to add to the shopping cart	the customer add into the shopping cart	5 6 6 5 5	39 34 47 38 5
be to raise	be to enhance	The annual event be to raise funds	The annual event be to enhance funds	3 4 6 5 6	38 47 18 19 10
prepare	dig	Participants prepare food	Participants dig food	3 6 5 2 5	38 47 42 18 19
have a host of	have a vast array of	Tignes have a host of restaurants	Tignes have a vast array of restaurants	6 6 6 6 6	0 41 51 2 49
apply for	ask for	Applicants apply for grants	Applicants ask for grants	5 6 5 5 6	5 12 14 7 15
be removed from	be included in	the caffeine be removed from the coffee	the caffeine be included in the coffee	1 6 1 1 2	43 44 35 13 45
include this in	state this in	my boss include this in my profile	my boss state this in my profile	6 6 6 5 4	47 16 22 21 49
be used on	be performed on	The application be used on Linux	The application be performed on Linux	6 6 6 6 7	5 40 12 11 9
be aware of	be conscious of	the Support Center be aware of the problem	the Support Center be conscious of the problem	6 6 6 6 6	47 51 22 21 23
be designed in	be planned in	systems be designed in this manner	systems be planned in this manner	6 5 6 2 5	16 51 21 37 49
own	belong to	this guy own the domain	the domain belong to this guy	1 7 6 7 5	47 0 2 1 4
be required at	be collected at	Retirement be required at the same time	Retirement be collected at the same time	4 5 3 2 1	12 13 14 7 15
be completed on	get done on	A thorough background investigation be completed on applicants	A thorough background investigation get done on applicants	1 6 6 5 5	34 27 13 36 45
mention	explain	The Gita mention the caste system	The Gita explain the caste system	1 5 5 4 5	47 40 41 2 4
explain	examine	This document explain our privacy policy	This document examine our privacy policy	6 2 3 2 3	16 17 20 48 25
be the essence of	be the secret of	sales be the essence of business	sales be the secret of business	5 5 6 6 3	39 5 43 12 48
close	shake	God close a door	God shake a door	1 3 1 3 2	47 38 16 42 21
lay	need to lay	the goose lay the golden egg	the goose need to lay the golden egg	4 3 3 5 5	0 2 1 52 4
be the beginning of	bring	The fear of the LORD be the beginning of knowledge	The fear of the LORD bring knowledge	6 1 5 4 4	34 27 29 36 45
remember	celebrate	No one remember the speech	No one celebrate the speech	3 2 2 5 2	40 14 17 24 25
be better for	be healthier for	food be better for their body	food be healthier for their body	5 6 6 6 5	13 6 11 15 25
disappear to	lead the way to	The clerk disappear to the back	The clerk lead the way to the back	3 3 5 2 1	5 6 7 8 9
shoot	tie	John/Roman shoot him	John/Roman tie him	3 3 1 3 1	39 5 44 6 35
purchase	merge with	others purchase the game	others merge with the game	1 1 2 2 2	44 13 17 24 25
seize control of	assume control of	The military junta seize control of Thailand	The military junta assume control of Thailand	6 6 6 2 5	47 0 22 37 49
be available for	be compatible with	the venue be available for weddings	the venue be compatible with weddings	5 5 6 5 5	39 5 43 12 6
long to see	be everything to	Yang long to see Lau	Lau be everything to Yang	6 1 2 2 4	43 35 13 36 45
return from	leave for	Lenin return from Switzerland	Lenin leave for Switzerland	2 2 1 4 2	5 11 50 9 48
be by	be made by	Shipping be by USPS Parcel Post	Shipping be made by USPS Parcel Post	6 6 6 7 5	34 27 36 56 45
contain	be loaded with	the book contain footnotes	the book be loaded with footnotes	5 5 2 6 5	1 21 3 52 4
get into	enter into	David Beckham get into trouble	David Beckham enter into trouble	5 6 5 6 6	0 41 51 21 4
suggest	urge	passages suggest the story	passages urge the story	3 5 6 2 6	38 42 17 18 19
be developed to help	be designed to aid	a program be developed to help municipal officials	a program be designed to aid municipal officials	5 5 6 6 6	39 5 43 12 48
be assured of	want to provide	visitors be assured of breathtaking scenery	visitors want to provide breathtaking scenery	6 6 2 1 2	34 28 35 29 36
compete with	be listed above	Alaska compete with Ohio	Alaska be listed above Ohio	3 1 6 1 1	39 43 44 12 15
be confidential in	be collaborative in	these reports be confidential in nature	these reports be collaborative in nature	1 5 1 1 1	34 28 35 29 36
embark on	return from	others embark on studies	others return from studies	2 2 1 4 2	39 5 43 12 48
make tremendous progress in	gain in	Malaysia make tremendous progress in this regard	Malaysia gain in this regard	5 5 2 5 6	41 22 37 20 49
attend	be a 2006 graduate of	The student attend courses	The student be a 2006 graduate of courses	2 4 2 5 3	0 1 2 33 4
own	possess	most of us own these items	most of us possess these items	7 7 6 6 5	0 51 1 23 4
be composed of	be a group of	computers be composed of modules	computers be a group of modules	5 6 6 6 6	41 16 51 2 22
play a role in	be involved in	stress play a role in depression	stress be involved in depression	6 6 6 6 5	41 0 2 22 4
be pregnant at	be young at	Women be pregnant at the time of the survey	Women be young at the time of the survey	2 1 1 1 1	5 12 14 7 15
have a special meaning to	be personal to	various things have a special meaning to him	various things be personal to him	6 5 4 2 3	41 0 20 37 4
be possible in	be useful in	This kind of thing be possible in the past	This kind of thing be useful in the past	3 3 3 2 6	41 22 21 37 49
beat	battle	the Raiders beat the Texans	the Raiders battle the Texans	3 3 4 6 5	0 51 1 32 4
be the light of	be the energy of	Passion be the light of truth	Passion be the energy of truth	6 6 4 3 4	34 27 13 36 45
help rescue	be aboard	the social worker help rescue him	him be aboard the social worker	1 1 4 6 3	30 31 32 50 33
read through	recommend read	Don read through our guide	Don recommend read our guide	2 6 1 2 5	41 16 51 37 49
be present on	be visible on	the expressions be present on their faces	the expressions be visible on their faces	1 6 6 5 6	34 27 23 36 45
need to repeat	be ready to proceed with	Users need to repeat this cycle	Users be ready to proceed with this cycle	2 5 2 3 4	13 6 11 15 25
meet on	meet	The Committee meet on February 18	The Committee meet February 18	5 6 6 7 7	39 6 7 8 9
be performed in	be run in	This operation be performed in the United States	This operation be run in the United States	6 5 6 6 6	47 42 18 19 10
be the only game in	be the best value in	Blu-ray be the only game in town	Blu-ray be the best value in town	3 1 1 5 4	39 43 44 12 15
get through	read about	the driver get through the gears	the driver read about the gears	3 2 2 6 5	38 21 37 10 49
love for	talk to	Tom love for taylor	Tom talk to taylor	1 1 1 2 4	43 44 35 6 45
arrive in	be delivered in	Our guests arrive in style	Our guests be delivered in style	5 4 2 5 6	51 22 37 20 49
lay down on	get down on	Steve lay down on the floor	Steve get down on the floor	1 3 5 5 6	16 17 18 19 25
walk to	make his way to	Jefferson walk to the Capitol	Jefferson make his way to the Capitol	5 5 6 5 5	14 11 50 9 48
think about	say about	the way scientists think about their work	the way scientists say about their work	5 3 3 5 4	5 14 11 9 48
be a senior at	be a graduate from	Chris be a senior at Boston College	Chris be a graduate from Boston College	5 2 2 5 2	12 14 7 9 15
be a consultant to	become chairman of	Dan be a consultant to cities	Dan become chairman of cities	3 1 2 2 2	38 41 42 21 37
affect	be harmful to	HIV/AIDS affect your life	HIV/AIDS be harmful to your life	5 4 2 5 5	41 22 37 20 49
grow up with	be best for	Leif grow up with his family	his family be best for Leif	3 2 1 2 5	0 51 1 23 4
contain the title of	describe the content of	The first page contain the title of the paper	The first page describe the content of the paper	3 1 1 2 6	39 34 47 38 5
soften with	melt with	Fabric soften with washing	Fabric melt with washing	5 1 6 5 1	39 43 44 6 35
feature the work of	include interview with	The journal feature the work of members and nonmembers	The journal include interview with members and nonmembers	6 6 2 6 5	30 31 3 32 33
be introduced as	be more than	The Porsche Carrera GT be introduced as a 2004 model	The Porsche Carrera GT be more than a 2004 model	2 1 2 2 5	0 30 2 52 4
turn in	swivel in	humans turn in bed	humans swivel in bed	1 4 5 2 6	47 21 22 37 49
be separated from	be connected with	The islands be separated from the mainland	The islands be connected with the mainland	1 1 1 2 4	30 31 1 3 33
talk with	learn from	many people talk with the practitioners	many people learn from the practitioners	1 6 3 2 4	34 27 29 36 45
send to	be addressed to	any form of electronic , verbal , or written communication send to the Licensor	any form of electronic , verbal , or written communication be addressed to the Licensor	5 6 3 6 7	6 7 50 8 9
be a sad day for	be a disaster for	Yesterday be a sad day for this country	Yesterday be a disaster for this country	6 6 6 6 5	30 31 3 32 33
be fine for	be convenient for	the weather be fine for the BBQ	the weather be convenient for the BBQ	5 5 5 6 5	42 21 20 10 49
post in	be active on	Rob Caron post in his blog	Rob Caron be active on his blog	5 1 6 6 4	39 43 44 12 15
check	view	parent check their children works	parent view their children works	5 5 6 6 5	6 7 10 8 9
help rescue	swear to protect	the social worker help rescue him	the social worker swear to protect him	3 5 4 3 4	6 7 50 8 9
descend on	storm	10,500 athletes descend on Beijing	10,500 athletes storm Beijing	7 6 6 1 6	51 31 37 32 10
regain	have everything under	Mladin regain the lead	Mladin have everything under the lead	6 3 2 3 3	16 14 17 24 25
reject	agree to	American students reject their teachers	American students agree to their teachers	1 1 2 1 1	55 41 0 51 2
shout for	holler for	the animals shout for joy	the animals holler for joy	3 6 5 5 6	38 18 19 20 10
set up	set	Parents set up the furniture	Parents set the furniture	1 6 6 5 5	34 27 29 36 45
be 1 in	have a birthday in	Cookies be 1 in diameter	Cookies have a birthday in diameter	3 3 6 6 1	39 5 43 44 12
stretch between	run between	the membrane stretch between the fingers	the membrane run between the fingers	6 5 6 5 6	41 0 51 2 20
